source,dataset,symbol,original_status,new_status,attempts,rows,issues,tried_datasets
alpha_vantage,tick,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:tick|api_key_required:ALPHAVANTAGE_API_KEY,
alpha_vantage,kline,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:kline|api_key_required:ALPHAVANTAGE_API_KEY,
alpha_vantage,fundamentals,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:fundamentals|api_key_required:ALPHAVANTAGE_API_KEY,
twelve_data,tick,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:tick|api_key_required:TWELVEDATA_API_KEY,
twelve_data,kline,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:kline|api_key_required:TWELVEDATA_API_KEY,
polygon_io,tick,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:tick|api_key_required:POLYGON_API_KEY,
polygon_io,kline,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:kline|api_key_required:POLYGON_API_KEY,
polygon_io,trade,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:trade|api_key_required:POLYGON_API_KEY,
polygon_io,news,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:news|api_key_required:POLYGON_API_KEY,
polygon_io,corporate_actions,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:corporate_actions|api_key_required:POLYGON_API_KEY,
finnhub,tick,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:tick|api_key_required:FINNHUB_API_KEY,
finnhub,kline,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:kline|api_key_required:FINNHUB_API_KEY,
finnhub,news,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:news|api_key_required:FINNHUB_API_KEY,
finnhub,fundamentals,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:fundamentals|api_key_required:FINNHUB_API_KEY,
quandl,kline,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:kline|api_key_required:QUANDL_API_KEY,
quandl,macro,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:macro|api_key_required:QUANDL_API_KEY,
iex_cloud,tick,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:tick|api_key_required:IEX_CLOUD_API_KEY,
iex_cloud,kline,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:kline|api_key_required:IEX_CLOUD_API_KEY,
iex_cloud,trade,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:trade|api_key_required:IEX_CLOUD_API_KEY,
iex_cloud,news,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:news|api_key_required:IEX_CLOUD_API_KEY,
iex_cloud,corporate_actions,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:corporate_actions|api_key_required:IEX_CLOUD_API_KEY,
stooq,kline,aapl.us,no_data,unsupported_dataset,4,0,missing_dataset:macro|unsupported_dataset:macro,kline|tick|trade|macro
fred,macro,BTCUSDT,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:macro|api_key_required:FRED_API_KEY,
gdelt,news,bitcoin,network_error,network_error,1,0,missing_dataset:news|network_error:gdelt:error sending request for url (https://api.gdeltproject.org/api/v2/doc/doc?query=bitcoin&mode=artlist&format=json&maxrecords=1),news
financial_modeling_prep,tick,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:tick|api_key_required:FMP_API_KEY,
financial_modeling_prep,kline,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:kline|api_key_required:FMP_API_KEY,
financial_modeling_prep,fundamentals,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:fundamentals|api_key_required:FMP_API_KEY,
financial_modeling_prep,corporate_actions,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:corporate_actions|api_key_required:FMP_API_KEY,
financial_modeling_prep,news,AAPL,needs_api_key,skipped_needs_api_key,0,0,missing_dataset:news|api_key_required:FMP_API_KEY,
sec_edgar,fundamentals,AAPL,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:kline|unsupported_dataset:kline,fundamentals|news|corporate_actions|kline
sec_edgar,news,AAPL,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:kline|unsupported_dataset:kline,news|fundamentals|corporate_actions|kline
sec_edgar,corporate_actions,AAPL,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:kline|unsupported_dataset:kline,corporate_actions|fundamentals|news|kline
defillama,macro,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:kline|unsupported_dataset:kline,macro|fundamentals|tick|kline
defillama,fundamentals,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:kline|unsupported_dataset:kline,fundamentals|macro|tick|kline
tefas_public,fund_nav,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:fund_allocation|unsupported_dataset:fund_allocation,fund_nav|fund_profile|fund_return|fund_allocation
tefas_public,fund_profile,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:fund_allocation|unsupported_dataset:fund_allocation,fund_profile|fund_nav|fund_return|fund_allocation
tefas_public,fund_return,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:fund_allocation|unsupported_dataset:fund_allocation,fund_return|fund_nav|fund_profile|fund_allocation
tefas_public,fund_allocation,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:fund_return|unsupported_dataset:fund_return,fund_allocation|fund_nav|fund_profile|fund_return
tefas_public,fund_size,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:fund_return|unsupported_dataset:fund_return,fund_size|fund_nav|fund_profile|fund_return
tefas_public,fund_fee,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:fund_return|unsupported_dataset:fund_return,fund_fee|fund_nav|fund_profile|fund_return
tefas_public,fund_announcement,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:fund_return|unsupported_dataset:fund_return,fund_announcement|fund_nav|fund_profile|fund_return
tefas_public,fund_statistics,BTCUSDT,unsupported_dataset,unsupported_dataset,4,0,missing_dataset:fund_return|unsupported_dataset:fund_return,fund_statistics|fund_nav|fund_profile|fund_return
